Pneumomediastinum	HP:0025421
Abnormal pupil morphology	None
Abnormal pupillary morphology	None
Pupillary abnormalities	None
Ocular hypotelorism	None
Decreased orbital separation	None
Decreased distance between eye sockets	None
Closely spaced eyes	None
Hypotelorism	None
Abnormally close eyes	None
Decreased interpupillary distance	None
Decreased distance between eyes	None
Absent fovea	None
Aplasia of the fovea	None
Abnormal intraocular pressure	None
Abnormal eye pressure	None
Iris transillumination defect	None
Visual acuity test abnormality	None
Noninflammatory retina disease	None
Retinopathy	None
Congenital hypertrophy of retinal pigment epithelium	None
Subcapsular opacities	None
Subcapsular cataract	None
Subcapsular lenticular cataracts	None
Subcapsular cataracts	None
Decreased corneal sensitivity	None
Decreased corneal sensation	None
Corneal hypaesthesia	None
Reduced corneal sensation	None
Corneal hypesthesia	None
Pinhole visual acuity 1.3 LogMAR	None
Hypermetric saccades	None
Zonular cataract	None
Pigmentation of the sclera	None
Pigmentation of the outer white part of the eyeball	None
Corneal astigmatism	None
Choroidal coloboma	None
Birth defect that causes a hole in the innermost layer at the back of the eye	None
Coloboma of choroid	None
Choroidoretinal coloboma	None
Chorioretinal coloboma	None
Choroid coloboma	None
Near sightedness	None
Myopia	None
Nearsightedness	None
Near sighted	None
Close sighted	None
Lipemia retinalis	None
Subretinal exudate	None
Angioid streaks of the retina	None
Laquer cracks of the retina	None
Angioid streaks, retina	None
Angioid streaks of the fundus	None
Knapp streaks	None
Angioid streaks	None
Abnormality of pattern visual evoked potentials	None
Abnormality of foveal pigmentation	None
Extraocular muscle palsy	None
Weakness of muscles controlling eye movement	None
Weakness of extraocular eye movement	None
Extraocular muscle paralysis	None
Ophthalmoparesis	None
Macular degeneration	None
Pigmented macular degeneration	None
Retrobulbar neuritis	None
Retrobulbar optic neuritis	None
Compensatory face turn to the left	None
Punctate corneal dystrophy	None
Inferior oblique muscle weakness	None
Inferior oblique palsy	None
Hypotropia	None
Anomalous trichromacy	None
Decreased tear drainage	None
Uveitis	None
Brief tear break-up time	None
Corneal dellen	None
Corneal stromal dellen	None
Localized corneal thinning	None
Retinopathy of prematurity zone II	None
ROP zone II	None
Underdeveloped iris	None
Hypoplasia of the iris	None
Hypoplastic iris	None
Iris hypoplasia	None
Subretinal deposits	None
Aculeiform cataract	None
Fasciculiform cataract	None
Frosted cataract	None
Needle-shaped cataract	None
Choroidal nevus	None
Macular agenesis	None
Honeycomb retinal degeneration	None
Fishnet retinal pigmentation	None
Reticular pigmentary degeneration	None
Abnormal visual electrophysiology	None
Abnormal visual field test	None
Supranuclear upgaze palsy	None
Upgaze palsy	None
Upgaze paresis	None
Increased vertical cup-to-disc ratio - 0.9	None
Abnormal ocular alignment	None
Undetectable pattern electroretinogram	None
Optic nerve arteriovenous malformation	None
Reduced ERG	None
Flattened or absent electroretinogram	None
Decreased amplitudes on flash visual electroretinogram	None
Decreased electroretinogram	None
Decreased electroretinogram amplitude	None
Decreased electroretinogram response	None
Reduced electroretinogram	None
Decreased light- and dark-adapted electroretinogram amplitude	None
Reduced or abolished electroretinogram	None
Decreased ERG amplitude	None
Retinal dystrophy	None
Breakdown of light-sensitive cells in back of eye	None
Retinal astrocytic hamartoma	None
Ultra-low vision	None
Juxtafoveal choroidal neovascularization	None
Abnormal eye movements, paroxysmal	None
Paroxysmal involuntary eye movements	None
Consecutive exotropia	None
Increased corneal thickness	None
Crystalline corneal dystrophy	None
Abnormality of ocular smooth pursuit	None
Abnormal smooth pursuits	None
Irregular visual pursuit movements	None
Impaired smooth pursuit ocular movements	None
Disrupted ocular pursuit movements	None
Foveal subretinal hyporeflective spaces on macular OCT	None
Subfoveal choroidal neovascularization	None
Abnormal inferior rectus muscle physiology	None
Abnormal corneal epithelium morphology	None
Abnormality of corneal epithelium	None
Opacification of the corneal epithelium	None
Superficial corneal opacities	None
Polymorphous posterior corneal dystrophy	None
Orbital schwannoma	None
Tearing	None
Increased tears	None
Watery eyes	None
Increased lacrimation	None
Epiphora	None
Abnormal optic chiasm morphology	None
Abnormality of optic chiasm morphology	None
Primary congenital glaucoma	None
Anterior chamber malformation	None
Anterior segment developmental abnormality	None
Ocular anterior segment dysgenesis	None
Anterior chamber mesodermal anomalies	None
Anterior segment mesencyhmal dysgenesis	None
Anterior segment ocular dysgenesis	None
Anterior chamber cleavage defect	None
Anterior segment dysgenesis	None
Anterior chamber cleavage disorder	None
Limited eye motility from Duane anomaly	None
Duane anomaly	None
Limited eye movement from Duane anomaly	None
Globe retraction and deviation on adduction	None
Central heterochromia	None
Ring iris heterochromia	None
Lens issue	None
Abnormality of the lens	None
Abnormal lens morphology	None
Lens disease	None
Posterior polar cataract	None
Polar cataract, posterior	None
Pseudophakia	None
Papillitis	None
Papilledema	None
Absent/underdeveloped lens	None
Absent/small lens	None
Aplasia/Hypoplasia of the lens	None
Multifocal subretinal deposits	None
Abnormal Humphrey SITA 10-2 perimetry test	None
Iris flocculi	None
Lenticonus	None
Foveal hyporeflective spaces on macular OCT	None
Cataracts, congenital, cerulean	None
Cerulean cataract	None
Horizontal incomitant strabismus	None
Binasal hemianopia	None
Slowed horizontal saccades	None
Compensatory head posture	None
Asymmetry of iris pigmentation	None
Wide/broad middle finger phalanges	None
Broad phalanges of the 3rd finger	None
Wide bones of middle finger	None
Humeral cortical irregularity	None
Fragmentation of the end part of the innermost bone of the 3rd toe	None
Fragmentation of the epiphysis of the proximal phalanx of the 3rd toe	None
Long thumb	None
Limited knee flexion	None
Abnormality of limb bone	None
Curved distal phalanx of the 3rd toe	None
Curved outermost bone of the 3rd toe	None
Abnormality of the end part of the innermost bone of the ring finger	None
Abnormality of the epiphysis of the proximal phalanx of the 4th finger	None
Small epiphysis of the proximal phalanx of the 4th toe	None
Small end part of the innermost bone of the 4th toe	None
Increased mid-arm muscle circumference	None
Wide outermost bone of thumb	None
Broad terminal thumb phalanx	None
Broad distal phalanx of the thumb	None
Wide distal phalanx of thumb	None
Broad outermost bone of the thumb	None
Patchy sclerosis of the proximal phalanx of the 2nd finger	None
Uneven increase in bone density in innermost index finger bone	None
Wide outermost bone of big toe	None
Broad outermost bone of big toe	None
Broad distal phalanx of the hallux	None
Abnormality of the middle phalanx of the 4th toe	None
Abnormality of middle 4th toe bone	None
Absent big toe	None
Agenesis of the halluces	None
Missing big toe	None
Absent hallux	None
Aplasia of the hallux	None
Laterally sloping metaphysis of long bone of upper arm	None
Laterally sloping humeral metaphysis	None
Aplasia of the distal phalanx of the hallux	None
Absent outermost bone of big toe	None
Abnormality of the calf	None
Amelia involving the upper limbs	None
Asymmetric lower limb shortening	None
Hemiatrophy of lower limb	None
Metaphyseal spurs	None
Metaphyseal chondromatosis of tibia	None
Hockey-stick palmar crease	None
Hockey-stick crease	None
Osteolytic defects of the distal phalanx of the 5th finger	None
Cone-shaped epiphysis of the 1st metatarsal	None
Cone-shaped end part of the 1st long bone of foot	None
Spindle-shaped finger	None
Abnormality of the innermost finger bones of the hand	None
Abnormality of the proximal phalanges of the hand	None
Abnormal proximal phalanx morphology of the hand	None
Rhomboid or triangular shaped 5th finger proximal phalanx	None
Rhomboid or triangular shaped innermost bone of pinky finger	None
Rhomboid or triangular shaped innermost bone of pinkie finger	None
Rhomboid or triangular shaped innermost bone of little finger	None
Small end part of the outermost bone of the index finger	None
Small epiphysis of the distal phalanx of the 2nd finger	None
Sclerosis of humeral diaphysis	None
Increased bone density in shaft of long bone in upper arm	None
Hypoplasia of the thumb grade IV	None
Thumb hypoplasia grade 4	None
Floating thumb	None
Complete duplication of the first long bone of hand	None
Complete duplication of the first metacarpal	None
Stippled ossification of the humeral epiphyses	None
Epiphyseal stippling of the humerus	None
Abnormality of the epiphyses of the feet	None
Abnormality of the end part of the foot bone	None
Patella alta	None
Fragmentation of the end part of the pinkie finger bones	None
Fragmentation of the epiphyses of the 5th finger	None
Fragmentation of the end part of the pinky finger bones	None
Fragmentation of the end part of the little finger bones	None
Thumb extension contracture	None
Abnormal morphology of phalanx of the 2nd toe	None
Abnormality of the 2nd toe bone	None
Irregular end part of the pinkie toe bone	None
Irregular end part of the pinky toe bone	None
Irregular end part of the little toe bone	None
Irregular epiphyses of the 5th toe	None
Bracket epiphysis of the proximal phalanx of the 5th toe	None
Bracket shaped end part of the innermost bone of the pinkie toe	None
Bracket shaped end part of the innermost bone of the little toe	None
Bracket shaped end part of the innermost bone of the pinky toe	None
Hypophalangy of toes	None
Partial absence of toe	None
Ivory epiphysis of the middle phalanx of the 4th finger	None
Increased bone density of end part of the middle ring finger bone	None
Long toes	None
Increased length of toes	None
Long toe	None
Aplasia/hypoplasia involving bones of the extremities	None
Synostosis involving the tibia	None
Bone fusion involving the shinbone	None
Cone-shaped epiphyses of the distal phalanges of the hand	None
Cone-shaped end part of the outermost hand bones	None
Short limbs	None
Short limb	None
Limb undergrowth	None
limb shortening	None
Hypoplasia involving bones of the extremities	None
Partial duplication of the outermost bone of the 2nd finger	None
Bifid terminal phalanx of the 2nd finger	None
Partial duplication of the distal phalanx of the 2nd finger	None
Notched outermost bone of the index finger	None
Pseudoepiphysis of the 1st metacarpal	None
Irregular humeral epiphyses	None
Irregular end part of long bone in upper arm	None
Aplasia/Hypoplasia of the 3rd finger	None
Absent/small middle finger	None
Absent/underdeveloped middle finger	None
Congenital finger flexion contractures	None
Congenital finger contractures	None
Increased bone density in the outermost bone of the thumb	None
Sclerosis of the distal phalanx of the thumb	None
Laterally deficient tibial plateaux	None
bone epiphysis of middle phalanx of manus	None
Fractured epiphysis of middle phalanx of manus	None
Irregular end part of innermost long bone of index finger	None
Irregular epiphysis of the proximal phalanx of the 2nd finger	None
Bullet-shaped innermost toe bone	None
Bullet-shaped proximal phalanges of the toes	None
Bullet-shaped proximal phalanges of toe	None
Bullet-shaped proximal toe phalanx	None
Tapering of outermost end of thighbone	None
Distal tapering femur	None
Short fibulae	None
Short calf bone	None
Hypoplastic fibula	None
Short fibula	None
Fibular hypoplasia	None
Bilateral radial aplasia	None
Bilateral absence of radius	None
Edema of dorsum of feet	None
Edema of the dorsum of feet	None
Oedema of dorsum of feet	None
Oedema of the dorsum of feet	None
Abnormality of the knee	None
Proximal tapering of metacarpals	None
Pointed innermost long bone of hand	None
Pointed proximal metacarpals	None
