Abnormality of the breast	HP:0000769
Increased intracellular sodium	None
Cellular hypersensitivity to mitomycin C	None
Elevated intracellular cystine	None
Fingerprint intracellular accumulation of autofluorescent lipopigment storage material	None
Fingerprint profiles ultrastructurally in cells	None
Fingerprint profiles ultrastructurally	None
Multiple mitochondrial DNA deletions	None
Multiple mtDNA deletions	None
Gaucher cells	None
Decreased activity of mitochondrial complex IV	None
Respiratory complex IV deficiency	None
Abnormal natural killer cell physiology	None
Mitochondrial respiratory chain defects	None
Decreased activity of the pyruvate dehydrogenase complex	None
Pyruvate dehydrogenase complex deficiency	None
Decreased activity of the PDH complex	None
Abnormal mitochondrial number	None
Abnormal zona pellucida morphology	None
Acid phosphatase elevated	None
Elevated serum acid phosphatase	None
Abnormality of chromosome segregation	None
Chronic (near) absent IgG2 in blood	None
Chronic (near) absent circulating IgG2	None
Abnormal cardiomyocyte dystrophin staining	None
Abnormal cardiomyocyte plakoglobin staining	None
Light-chain paraproteinemia	None
Monoclonal elevation of IgG light chain	None
Decreased specific pneumococcal antibody level	None
Low pneumococcal antibody titer	None
Specific pneumococcal antibody deficiency	None
Deficiency of N-acetylglucosamine-1-phosphotransferase	None
Cellular metachromasia	None
Decreased IgM	None
Decreased circulating total IgM	None
IgM deficiency	None
Decreased IgM level	None
Reduced IgM levels	None
Absent specific antibody response	None
Reduced fibroblast CD59 level	None
Transient decreased circulating IgG4	None
Transient decreased IgG4 in blood	None
Abnormal immunoglobulin level in body fluid	None
IgM heavy chain paraproteinemia	None
Abnormal serum level of immunoglobulin	None
Abnormal immunoglobulin concentration	None
Abnormal circulating immunoglobulin concentration	None
Abnormal serum immunoglobulin levels	None
Immunoglobulin abnormality	None
Abnormal immunoglobulin level	None
Abnormal serum immunoglobulin concentration	None
Decreased activity of mitochondrial ATP synthase complex	None
Mitochondrial complex V deficiency	None
Respiratory complex deficiency, ATPase deficiency	None
Decreased activity of mitochondrial complex V	None
Cardiomyocyte hyaline bodies	None
Decreased plasma free carnitine	None
Abnormality of mucopolysaccharide metabolism	None
Increased rate of premature chromosome condensation	None
Deficiency or absence of cytochrome b(-245)	None
Deficiency or absence of cytochrome b	None
Depletion of mitochondrial DNA in liver	None
Increased anti-meat allergen IgE antibody level	None
Abnormality of lysosomal metabolism	None
Chronic absent circulating IgD	None
Chronic (near) absent IgM in blood	None
Chronic decreased IgG4 in blood	None
Chronic decreased circulating IgG4	None
Abnormal apoptosis	None
Homer Wright rosette	None
IgA heavy chain paraproteinemia	None
Alpha heavy chain disease	None
Transient hypogammaglobulinemia of infancy	None
Newborn gammaglobulin deficiency	None
Oligoclonal elevation of circulating IgG	None
Absent zona pellucida	None
Enlarged peroxisomes	None
Peroxisomal enlargement	None
Cardiomyocyte mitochondrial proliferation	None
Abnormality of the cell cycle	None
Abnormality of B cell physiology	None
Reduced B cell function	None
Increased lymphocyte apoptosis	None
Decreased specific antibody response to infection	None
Chronic decreased circulating IgG1	None
Chronic decreased IgG1 in blood	None
Abnormal circulating IgM concentration	None
Abnormal IgM level in blood	None
Abnormal circulating IgM level	None
Complete or near-complete absence of specific antibody response to meningococcus vaccine	None
Monoclonal elevation of circulating IgE	None
Monoclonal elevated circulating IgE concentration	None
Abnormal cardiomyocyte morphology	None
Abnormal cardiac muscle cell morphology	None
Abnormal T lymphocyte activation	None
Abnormal T-lymphocyte activation	None
Abnormal T-cell activation	None
Abnormal T cell activation	None
Increased anti-egg IgE antibody level	None
Thin zona pellucida	None
Abnormal chromosome morphology	None
Abnormality of redox activity	None
Abnormal distribution of cell junction proteins in buccal mucosal cells	None
Lipogranulomatosis	None
Monoclonal elevation of IgG kappa chain	None
Secretory IgA deficiency	None
Defective B cell differentiation	None
Mitochondrial dysfunction	None
Abnormality of mitochondrial metabolism	None
Elevated immunoglobulin E	None
High immunoglobulin E	None
Increased circulating IgE level	None
Elevated serum IgE	None
Increased circulating IgE concentration	None
Zebra bodies	None
Decreased CD69 upregulation upon TCR activation	None
True ependymal rosette	None
Agammaglobulinemia	None
Agammaglobulinaemia	None
Increased level of anti-dander IgE antibody	None
Increased anti-animal dander IgE antibody level	None
Chronic partially decreased IgG1 in blood	None
Chronic partially decreased circulating IgG1	None
Abnormal mitochondrial morphology	None
Abnormal mitochondrion morphology	None
Abnormal mitochondrial shape	None
Defective T cell proliferation	None
Impaired Ig class switch recombination	None
Impaired B-lymphocyte isotype switching	None
Complete or near-complete absence of specific antibody response to Haemophilus influenzae type b (Hib) vaccine	None
Curvilinear intracellular accumulation of autofluorescent lipopigment storage material	None
Curvilinear profiles ultrastructurally in cells	None
Curvilinear profiles ultrastructurally	None
Intracellular curvilinear profiles on ultrastructural analysis	None
Abnormality of glycosaminoglycan metabolism	None
Reduced fibroblast surface marker level	None
Mitochondrial depletion	None
Elevated leukocyte cystine	None
Increased anti-plant product IgE antibody level	None
Mitochondrial propionyl-CoA carboxylase defect	None
Mitochondrial PCC defect	None
Partial absence of specific antibody response to unconjugated pneumococcus vaccine	None
Reduced granulocyte CD16 level	None
Absent natural antibody to blood group agents	None
Complete or near-complete absence of isohemagglutinins	None
Absent isohemagglutinin level	None
Myocyte cellular hypertrophy	None
Cardiomyocyte hypertrophy	None
Oligoclonal T cell expansion	None
Chronic decreased IgE in blood	None
Chronic decreased circulating IgE	None
Chronic decreased circulating IgE concentration	None
Abnormal flow cytometry test result	None
Decreased expression of GPI-anchored proteins on the cell surface	None
Abnormality of DNA repair	None
Transient decreased IgE in blood	None
Transient decreased circulating IgE concentration	None
Transient decreased circulating IgE	None
Abnormal telomere morphology	None
Abnormal mitochondria in muscle	None
Abnormal mitochondria in muscle tissue	None
Endopolyploidy on chromosome studies of bone marrow	None
Flexner-Wintersteiner rosette	None
Prolonged G2 phase of cell cycle	None
Increased anti-feather IgE antibody level	None
Increased circulating IgM level	None
Increased IgM levels	None
Increased levels of IgM	None
Chromosomal breakage induced by diepoxybutane	None
Chromosomal breakage induced by crosslinking agents	None
Chromosomal breakage induced by mitomycin C	None
Abnormality of chromosome stability	None
Monoclonal elevation of IgG lambda chain	None
Increased anti-insect IgE antibody level	None
Premature chromatid separation	None
Electron transfer flavoprotein-ubiquinone oxidoreductase defect	None
Abnormal lymphocyte apoptosis	None
Chronic partially decreased IgG4 in blood	None
Chronic partially decreased circulating IgG4	None
Decreased specific antibody response to protein-conjugated polysaccharide vaccine	None
Decreased activities of mitochondrial-encoded respiratory chain complexes	None
Decreased activity of mitochondrial respiratory chain	None
Decreased activity of mitochondrial respiratory complexes	None
Complete or near-complete absence of specific antibody response to tetanus vaccine	None
Increased anti-galactose-alpha-1, 3 galactose IgE antibody level	None
Increased anti-alpha-gal IgE antibody level	None
Impaired T cell function	None
T-cell dysfunction	None
Decreased specific antibody response to vaccination	None
Reduced fibroblast CD16 level	None
Increased cellular sensitivity to UV light	None
Abnormal cardiomyocyte connexin43 staining	None
Elongated mitochondria	None
Increased anti-fungi IgE antibody level	None
Increased anti-fungal IgE antibody level	None
Increased anti-fungus IgE antibody level	None
Decreased T-cell activation	None
Defective T cell activation	None
Decreased T-lymphocyte activation	None
Profound depletion of T4+ lymphocytes	None
Decreased T lymphocyte activation	None
Decreased T cell activation	None
Increased circulating IgG1 level	None
Abnormal B cell proliferation	None
Polyclonal elevation of circulating IgG	None
Decreased circulating IgG2 level	None
Decreased circulating IgG2 concentration	None
Immunoglobulin IgG2 deficiency	None
Decreased IgG2 level in blood	None
Reduced IgG2 levels	None
Decreased circulating IgG4 level	None
Decreased circulating IgG4 concentration	None
Decreased IgG4 level in blood	None
Decreased circulating IgG1 level	None
Decreased IgG1 level in blood	None
Decreased circulating IgG1 concentration	None
Transient decreased circulating IgD	None
Transient decreased IgD in blood	None
Cardiomyocyte degeneration	None
Monoclonal elevation of IgG	None
Abnormal IgG level in blood	None
Abnormal circulating IgG concentration	None
Abnormal circulating IgG level	None
Partial absence of isohemagglutinins	None
Decreased natural antibody to blood group agents	None
Reduced isohemagglutinin level	None
Reduced reactive oxygen species production in neutrophils	None
Reduced granulocyte surface marker level	None
Abnormal circulating IgA concentration	None
Abnormal IgA level in blood	None
Abnormal circulating IgA level	None
Complete or near-complete absence of specific antibody response to unconjugated pneumococcus vaccine	None
Decreased circulating total IgG	None
Decreased circulating total IgG concentration	None
Transient decreased circulating total IgG	None
Abnormal cardiomyocyte mitochondrial morphology	None
Reduced granulocyte CD55 level	None
Pathological inclusion body	None
Mitochondrial malic enzyme reduced	None
Decreased mitochondrial malic enzyme	None
Long chain 3 hydroxyacyl coA dehydrogenase deficiency	None
Short-chain 3-hydroxyacyl-coenzyme A dehydrogenase deficiency	None
Decreased 3-hydroxyacyl-CoA dehydrogenase level	None
Medium and short-chain L-3-hydroxyacyl-coenzyme A dehydrogenase deficiency	None
Cardiomyocyte inclusion bodies	None
Abnormal delayed hypersensitivity skin test	None
Low levels of immunoglobulin A	None
Decreased IgA	None
Reduced IgA levels	None
IgA deficiency	None
Gamma-A globulin deficiency	None
Decreased immunoglobulin A	None
Decreased circulating IgA level	None
Decreased circulating IgA concentration	None
Increased level of anti-seafood IgE antibody	None
Increased anti-seafood IgE antibody level	None
Decreased FasL-mediated apoptosis	None
Chronic decreased IgM in blood	None
Chronic decreased circulating IgD	None
Decreased plasma total carnitine	None
Increased circulating IgG concentration	None
Increased circulating IgG level	None
Increased levels of IgG	None
Increased total IgG in blood	None
Increased IgG level	None
Chronic (near) absent total IgG in blood	None
Chronic absent circulating total IgG	None
Abnormal lymphocyte physiology	None
Increased circulating IgG3 level	None
Abnormal cell proliferation	None
Decreased immunoglobulin G	None
Decreased circulating IgG concentration	None
Decreased IgG level in blood	None
IgG deficiency	None
Decreased circulating IgG level	None
Decreased gamma-globin expression	None
Reduced IgG levels	None
Decreased serum IgG	None
Decreased IgG level	None
Increased level of anti-food allergen IgE antibody	None
Increased anti-food allergen IgE antibody level	None
Complete or near-complete absence of specific antibody response to hepatitis B vaccine	None
IgD deficiency	None
Decreased IgD	None
Decreased circulating IgD	None
Decreased circulating IgD concentration	None
Decreased IgD in blood	None
Increased circulating IgD level	None
Elevated serum IgD	None
Elevated IgD	None
Increased levels of IgD	None
Increased IgD level	None
Increased serum IgD	None
Increased circulating IgD concentration	None
IgD hypergammaglobulinemia	None
Chronic (near) absent IgG4 in blood	None
Chronic (near) absent circulating IgG4	None
Reduced fibroblast CD55 level	None
Chromosomal breakage induced by ionising radiation	None
Increased cellular radiosensitivity	None
Chromosomal breakage induced by ionizing radiation	None
Radiation-induced chromosome instability	None
Carnitine deficiency	None
Decreased circulating carnitine concentration	None
Decreased plasma carnitine	None
Defective lymphocyte apoptosis	None
Decreased lymphocyte apoptosis	None
Heavy-chain paraproteinemia	None
Abnormal CD25 upregulation upon TCR activation	None
Lack of delayed skin hypersensitivity reaction	None
Cutaneous anergy	None
Absence of delayed hypersensitivity skin test	None
Oligoclonal elevated circulating IgE concentration	None
Oligoclonal elevation of circulating IgE	None
Specific anti-polysaccharide antibody deficiency	None
